time_period,ebike_average_trip_distance_miles,ebike_average_trip_duration_minutes,ebike_average_trips_per_day,scooter_average_trip_distance_miles,scooter_average_trip_duration_minutes,scooter_average_trips_per_day,ebike_total_distance_miles,ebike_total_mds_trips,scooter_total_distance_miles,scooter_total_mds_trips
2021-Q3,0.96,13.9,7,1.4,7.6,834,368,400,71308,50900
2021-Q4,NA,NA,NA,1.29,6.3,1027,NA,NA,121521,94500
2022-Q1,NA,NA,NA,1.23,6.4,356,NA,NA,39270,32000
2022-Q2,1.77,8.8,33,1.49,7.4,588,5241,3000,79427,53500
2022-Q3,1.58,7.5,336,1.41,7.1,663,48620,30900,86290,61000
2022-Q4,1.42,7.1,513,1.25,6.4,867,66852,47200,99369,79800
2023-Q1,1.34,6.2,382,1.2,5.7,642,46002,34400,69559,57800
2023-Q2,1.43,6.4,459,1.28,5.9,782,59774,41800,91374,71200
2023-Q3,1.43,6.9,300,1.27,6.4,627,39468,27600,73054,57700
2023-Q4,1.39,6.8,251,1.26,6.2,662,32022,23100,76437,60900
2024-Q1,1.4,7.4,131,1.25,6.9,353,16738,11900,40241,32100
2024-Q2,1.52,7.5,166,1.35,6.8,455,23053,15100,55758,41400
2024-Q3,1.5,7.3,229,1.34,6.7,665,31625,21100,82216,61200
2024-Q4,1.4,6.7,208,1.26,6,785,26707,19100,91238,72200
2025-Q1,1.35,6.5,113,1.24,5.9,446,13830,10200,49766,40100
2025-Q2,1.54,6.9,177,1.33,6,682,24847,16100,82298,62100
all,1.44,6.9,211,1.3,6.4,649,435152,301900,1209124,928400
